리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
13431923,cj*****************,2024-03-26 12:15:17.426744,기다리던 책인데 절판끝에 출간되어 바로 구매했습니다 좋은 책 감사합니다,집중돼요,4
13424764,lo**********,2024-03-25 12:14:43.680462,"유명한 책을 ~~기대가 되는 책입니다.
조용히 제 시간 누리면 읽어볼렵니다.",최고예요,4
13422799,se*********,2024-03-25 00:20:29.020255,"요즘 자기계발서에 빠져있는 1인입니다  뇌과학 전문가 박문호 박사님이 추천해주시는 책이라 더 신뢰가가고
읽으면서 저를 다시 돌아보게 해줘서 상당히 도움이 많이 되었습니다 ",최고예요,4
13419178,ds*****,2024-03-24 14:29:43.726731,가장 기본 중의 기본이자 가장 현명한 자기 개발서,도움돼요,4
13416276,db*******,2024-03-23 22:52:40.02676,"절판된 책이라 구하기 어려울 줄 알았는데 보이자마자 바로 주문했습니다.
이전에 소문으로만 읽기 들어서 꼭 읽고 싶었는데 이 기회에 읽을 수 있어서 좋아요.",최고예요,4
13413057,si*****,2024-03-23 15:03:37.885313,기대가 많이 되는 책입니다,도움돼요,4
13411473,ko***************,2024-03-23 09:39:59.023314,자기계발서로 워낙 정평이 난 책인데 드디어 읽게되서 너무 기대됩니다,추천해요,4
13663269,an*******,2024-04-30 19:31:52.833055,읽고싶었던 도서 드디어 내 손안에...,최고예요,4
13653987,sa********,2024-04-29 13:08:59.577607,"너무 좋은 책입니다!
어떤 일을 해야할지 모르겠을때 읽어보세요",도움돼요,4
13649369,go*****,2024-04-28 14:15:19.735818,내용이 알차서 도움이 돼요. ,도움돼요,4
13638456,yj******,2024-04-26 14:37:41.541079,읽기 쉬운 말들로 유익한 내용을 설명해주네요,쉬웠어요,4
13635929,gr********,2024-04-25 23:32:12.129055,도움됐어요 추천합니다,도움돼요,4
13413974,rk*****,2024-03-23 17:50:11.534927,받고보니 양장본이네요 박문호 박사님이 추천하시길래 읽어보려 했지만 모두 절판되어 아쉬웠는데 다시 구매 할 수있어 다행이네요 책 내용도 술술 읽히고 좋습니다~,집중돼요,4
13410754,na*****,2024-03-23 00:59:30.184811,자기계발서 잘 안 읽는데 갑자기 꽂혀서 봤어요. 잘 읽히고 도움이 됐습니다. 자기계발서 좀 많이 읽어야겠어요...,집중돼요,4
13657807,lo******,2024-04-29 22:47:59.99792,유명한 책이라 구입 해봤습니다,도움돼요,4
13640729,ki****,2024-04-26 23:08:17.005378,최고의 조언서 두번 읽음,집중돼요,4
13639099,hs********,2024-04-26 16:59:28.172557,일류의 조건 재미있게 잘 읽었습니다^,도움돼요,4
13634753,kh****,2024-04-25 20:31:20.100547,자기계발서의 끝판왕,도움돼요,4
13631722,bo******************,2024-04-25 06:57:00.416414,베스트셀러라 구매했는데 자기개발에도움되네요!,최고예요,4
13601033,ra*****,2024-04-20 06:01:16.187736,재미있게 읽었습니다 좋은 책이네요,도움돼요,4
13408844,hi*****,2024-03-22 22:09:29.083682,숙달의 원동력이 되는 것은 바로 동경이다.,최고예요,4
13406756,re***,2024-03-22 17:02:03.667381,베스트셀러에 떠서 구매하여 읽어 보려고 합니다. 20년 전에 나온 작품인데 재출간 역주행 자기계발 서적이군요. 잘 읽어 보겠습니다.,도움돼요,4
13405994,ll****************,2024-03-22 15:33:26.905608,"친구의 추천으로 알게 되었던 책인데 따로 소장을 원했는데 다시 출간되었다고 해서 구매하게 되었습니다. :-)

괜히 베스트셀러가 아닌거 같아요!!! 소장할 수 있어서 무척 기뻐요~",추천해요,4
13404224,sj*****,2024-03-22 12:22:04.376347,"솔직히 기대 안했는데 생각보다 괜찮다
오히려 클래식한 얘기라.. 내 상황에선 더 와닿았다.
내용이 길진 않아서 금방 읽을 수 있음",최고예요,4
13404097,mv***************,2024-03-22 12:10:45.785668,일을 하다 슬럼프가 있는 시기에 책을 우연히 접하게 되었는데 읽으면서 그동안 무심코 지나쳤던 행동들을 다시 뒤돌아 볼 수 있는 계기가 되었네요,집중돼요,4
13402028,yj*****,2024-03-22 07:57:19.226358,"절판이었어서 만나기힘들었는데 너무 반갑네요
바로 구매했어요 읽기전부터 넘 기대됩니당  ",도움돼요,4
13395582,qw******************,2024-03-21 11:23:33.023714,와..이거 절판됐던건데 다시 출판해주시네요. 예전에 학생때 도서관에서 읽었었는데 소장하고 싶어서 샀어요. 직장다니면서 읽어보니 또 다르게 다가오네요. 다시 완독해보겠습니다ㅎㅎ,최고예요,4
13391443,ra*******,2024-03-20 18:53:18.307506,구하기 힘들었던 기억이있는책인데 다시 출간되었다고 해서 구매했어요! 도움되는 책이예요!!,도움돼요,4
13391437,qo*****,2024-03-20 18:51:45.043993,"너무 기다렸던 책이에요
지인 덕분에 재출간소식 알게되었는데 이번엔 소장해둘수 있어 기쁩니다",추천해요,4
13391410,ji******,2024-03-20 18:45:43.592843,이 책을 예전에 빌려서 읽고 너무 감동받았던 기억이 있었는데 절판되어서 아쉬웠었던 기억이 있네요. 이번에 복간된다는 소식 듣고 예약구매했어요. ,도움돼요,4
13391399,rh*****,2024-03-20 18:41:57.264345,"절판됐던 책을 못구하고 있었는데 드디어
출간되었네요. 얼른 구매했습니다 너무 기대되네요 빨리 읽어보고 싶어요",도움돼요,4
13391356,wl********,2024-03-20 18:27:42.755167,평소 존경하는 박문호 박사님이 추천하셔서 관심 가진 책입니다. 절판됐다고 하여 아쉬웠는데 재출간으로 만나볼 수 있어 기뻐요 언능 읽고싶네요,최고예요,4
13391341,eo***,2024-03-20 18:19:01.598756,박문호 박사님이 20대로 돌아가면 꼭읽겠다고 이야기하신 책이여서 재출간소식 아기다리고기다렸습니다! ,최고예요,4
13391237,ya***,2024-03-20 17:53:26.318601,"한 분야에 있어 통달한 전문가, 즉 ‘일류’가 되기 위해서는 근본적인 조건 세 가지인 ‘훔치는 힘’, ‘요약하는 힘’, ‘추진하는 힘’을 갖추어야 함을 전하는 자기 계발서인데 10년동안 1만권이나 팔렸다니 너무 기대됩니다",도움돼요,4
13391167,ne******,2024-03-20 17:35:44.470641,"이 책이야말로 정말 실용적인 자기계발서가 아닌가싶네요.많은 걸 배웠고,저도 앞으로 더 성장할 것 같아요.",도움돼요,4
13391078,ba*****,2024-03-20 17:24:09.9578,"절판되었던 서적이라 구하기 어려웠는데, 다시 판매되서  자기계발을 위해 읽어야 할 지침서에요
",최고예요,4
13390671,mi*******,2024-03-20 16:32:25.832181,"기대가 되는 책이라 쭉쭉 읽고 있습니다
어떠한 환경 속에서도 자기계발을 잊지않고 실천하려는
마음을 가지게 도움을 주는 책입니다
",최고예요,4
13390539,ye*****,2024-03-20 16:08:04.392323,보고싶었던 책인데 소장해서 좋습니다!,집중돼요,4
13390499,qt*****,2024-03-20 15:57:58.889406,"오랜기간 다시 나오기만을 기다렸던 책이예요.
많은 사람들의 기대를 충족시켜줬던 인생에 도움이 되는 책이예요.
얼른 받아서 읽어보고싶은 마음입니다.",도움돼요,4
13390410,qk*******,2024-03-20 15:45:32.298144,"2024년 저를 발전시킬 책으로 일류의 조건을 선택했는데
읽기도 편하고, 워낙 중요한 말들 뿐이라 잘 구매한것같아요^^
만족합니다~ ",집중돼요,4
13390381,uh****,2024-03-20 15:38:47.083526,절판되어서 못 구했던 책인데 다시 나왔네요 ㅎ 요즘 시대에 더 읽어줘야하는 책이에요.,최고예요,4
13390358,sa******,2024-03-20 15:34:50.490322,학창 시절 동문들의 추천이 가득했던 책이 절판됐다가 다시 출간됐더라구요. ​유명한 뇌과학자 박문호 박사도 추천하는 책이다보니 더욱 기대해도 좋은 책입니다. ,도움돼요,4
13390342,so*******,2024-03-20 15:32:41.381553,"사이토다카시 작가의책이라 관심있어서 구매합니다.
일류의조건이 무었일지 고민해보는 시간이 될듯합니다.고맙습니다.",도움돼요,4
13390160,hi*****,2024-03-20 15:14:30.801341,느슨해진 3월에 읽으면 딱 좋을 책이 나와서 좋습니다. 사이토 다 카시 교수님도 박문호 교수님도 참 좋아하는데요. 사이토 다카시가 쓰고 박문호 교수님의 추천책!기대가 됩니다.,도움돼요,4
13390144,dk*******,2024-03-20 15:12:55.037093,"요즘 자기개발서를 찾아서 읽는데 정말 간만에 도움 되는
내용의 개발서 였습니다~내용이 지루하지 않아 집중해서 요약해서 읽었습니다~",집중돼요,4
